PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,Windspeedinsitu,Depth,DIN to DIP,PhytoBiomassC
3.758,9.46,18.3,52,3.5,11.7,185,0.039,0.022,0.551,0.759,6.848,0.012,2.311,3.5,3.3,17.429,1.757
3.505,9.89,19.1,50,4.4,17.5,111.3,0.02,0.025,0.123,1.181,10.128,0.014,2.116,0,3.6,10.227,2.147
3.758,9.66,18.1,59,3.2,22.8,103.4,0.016,0.008,0.582,0.576,9.134,0.037,2.264,1,3.4,7.5,2.604
3.107,10.36,19.5,46,4.3,22.3,92.7,0.026,0.021,0.693,0.689,11.978,0.017,2.262,0,2.9,10.93,2.062
2.619,11.56,19,42,11.7,30.3,73.2,0.022,0.048,0.383,1.006,12.665,0.024,2.216,0,3,5.983,2.085
3.27,9.66,17.6,59,7.3,14.9,45,0.032,0.017,0.718,0.586,20.134,0.037,2.18,5,3.2,6.712,1.564
2.71,12.12,19.7,72,7.8,13.6,111.2,0.015,0.024,0.309,1.374,12.986,0.019,2.192,1,1.9,5,2.693
3.378,9.42,17.8,58,16.2,37.7,60.3,0.028,0.023,0.42,0.713,10.368,0.017,2.19,4,3.4,3.148,2.271
3.721,9.63,17.5,62,11.7,13,117.6,0.036,0.021,0.727,0.134,6.451,0.039,2.182,4,3.2,4.872,2.102
4.408,9.54,18.4,55,7.4,16.2,124.7,0.023,0.024,0.566,0.895,10.169,0.018,2.054,3.5,3,6.351,2.4
4.39,9.34,17.8,53,13.8,21.4,84.4,0.031,0.03,0.022,1.069,9.632,0.02,2.067,4,3.7,4.42,1.879
4.047,9.32,17.9,50,8.7,16,126.3,0.06,0.007,0.596,0.596,8.338,0.036,2.081,4,3.5,7.701,1.04
3.396,9.54,17.2,54,10.5,11.5,107.4,0.019,0.029,0.679,0.724,11.213,0.022,2.194,2,3.1,4.571,2.411
3.36,9.11,17.3,51,0.1,75.9,55.4,0.022,0.024,0.557,0.939,11.744,0.02,2.116,2,3.2,46,3.281
4.137,9.6,17,61,7,13.4,128.7,0.07,0.034,0.569,0.915,10.651,0.037,2.22,4,2.7,14.857,2.25
3.848,8.98,20.1,66,14.7,4.2,160.3,0.045,0.029,0.674,0.609,7.573,0.018,2.515,5,3.7,5.034,2.202
4.083,10.46,20.5,53.75,11.7,16.6,161.3,0.002,0.043,0.536,1.034,8.518,0.019,2.502,3,3.6,3.846,4.837
3.234,9.83,20,42.5,14.3,9.3,108.1,0.014,0.091,0.716,0.642,11.109,0.163,2.588,7,3.5,7.343,3.69
2.638,9.37,19.9,56.25,15.4,19.8,197.1,0.004,0.025,0.838,0.441,5.631,0.017,2.215,4,3,1.883,1.821
2.963,9.48,19.8,67.5,12.5,4.1,118.4,0.004,0.035,0.803,0.705,11.459,0.022,2.49,2,2.8,3.12,2.531
3.252,9.8,20.3,70,13.9,0.8,122.7,0.017,0.037,0.614,1.081,12.729,0.036,2.738,1,3,3.885,3.199
3.342,11.15,20,68.75,10.9,51,107.9,0.012,0.029,0.543,1.126,10.071,0.035,2.891,2,1.8,3.761,3.709
3.487,9.74,20.4,52.5,11.6,39.1,135.4,0.017,0.042,0.84,0.646,8.302,0.025,2.629,4,3.6,5.086,2.415
3.956,8.89,20,57.5,13.5,8.2,125,0.014,0.064,0.721,0.594,9.496,0.05,2.361,2.5,2.8,5.778,1.752
3.36,9.16,20,47.5,10.9,50.7,121.2,0.006,0.142,0.658,0.631,7.861,0.028,2.4,3,3.2,13.578,1.69
4.263,8.83,20,75,11.7,10.3,102.5,0.019,0.039,0.487,0.734,10.273,0.017,2.688,4,3.6,4.957,3.041
3.685,9.12,20.4,77.5,15.2,20.8,84.9,0.01,0.056,0.685,0.816,12.961,0.031,2.666,4,3.5,4.342,2.864
4.191,9.1,20.1,80,18.2,6.8,150.5,0.016,0.037,0.802,0.899,9.994,0.033,2.484,5,2.9,2.912,2.952
3.487,9.09,20.2,91.25,12.8,80.8,48,0.014,0.053,0.259,0.049,2.648,0.028,2.462,5,2.8,5.234,2.922
3.342,9.03,19.8,116.25,8.9,59.7,123.3,0.016,0.036,0.738,0.694,7.733,0.029,2.433,4,2.5,5.843,2.644
4.42,7.62,19.5,58.6,19.8,7.1,114.4,0.034,0.01,0.809,0.45,9.222,0.02,2.935,2.5,3.5,2.222,2.078
4.33,8.88,20.3,57.14,21.4,35,153.8,0.024,0.027,0.815,0.661,7.265,0.028,2.752,2,3.6,2.383,2.604
4.02,10.03,19.9,55.71,26.1,61.3,81,0.026,0.04,0.961,0.653,9.976,0.062,3.056,4.5,3.5,2.529,2.928
3.14,8.71,20.7,58.57,20.3,46.2,99.5,0.03,0.028,0.809,0.857,10.386,0.033,3.104,5.5,3,2.857,1.952
3.23,8.8,19.8,67.14,14.7,24.1,241.1,0.024,0.045,0.975,0.892,6.917,0.023,3.127,10,3,4.694,2.885
3.99,9.31,19.1,71.25,5.1,15.7,100.1,0.039,0.019,0.444,0.844,11.133,0.033,0.796,3,3.45,11.373,2.885
4.02,11.86,20.7,57.5,13,10.1,80.5,0.035,0.057,0.626,0.913,15.743,0.054,0.924,0,3.5,7.077,2.885
3.68,10.42,20.6,60,7.4,9.9,106.4,0.043,0.078,0.735,0.697,12.555,0.038,1.947,0.2,3.5,16.351,3.093
4.42,11,20.2,60,9.7,9.8,131.6,0.032,0.058,0.7,0.414,7.968,0.03,1.412,0.2,3,9.278,2.044
4.1,11.34,19.8,68.75,20.8,55.1,63,0.028,0.045,0.337,0.836,8.97,0.058,1.326,10,2.9,3.51,3.083
3.34,10.7,18.7,84.29,6,16.8,183.2,0.034,0.034,0.571,0.545,5.748,0.04,2.17,0,2,11.333,2.318
3.61,9.42,18.7,77.14,1.3,16.3,128.5,0.038,0.023,0.719,0.775,10.643,0.039,1.424,4,2.5,46.923,2.143
4.42,9.09,18.7,78.57,12,16.8,112.7,0.022,0.043,0.521,0.788,9.71,0.056,1.198,3.5,2.7,5.417,1.998
4.42,9.05,18.9,77.14,5.4,20.6,155.2,0.035,0.033,0.548,0.606,6.744,0.032,1.106,3,3.45,12.593,2.216
4.3,9.31,18.7,72.86,13.6,7.2,125.3,0.027,0.026,0.553,1.108,11.732,0.035,1.608,2,3.8,3.897,2.226
3.38,11.16,19.9,71.43,8.2,42.2,132.1,0.032,0.039,0.448,1.254,9.715,0.05,2.135,0,2.8,8.659,2.69
4.32,11.2,20.2,70,7.1,14.9,190.1,0.031,0.024,0.165,1.009,5.794,0.03,2.077,0.2,3.5,7.746,2.228
3.43,11.14,20.2,74.29,22.8,16.2,163.8,0.012,0.027,0.699,0.969,8.417,0.033,1.265,1.5,2.5,1.711,2.412
3.54,12.89,20.6,64.29,21.1,9,247.6,0.03,0.05,0.755,0.938,6.385,0.056,1.33,0.2,1.5,3.791,1.855
3.25,11.51,20.1,75.71,41.8,27.7,150.9,0.03,0.027,0.534,1.276,8.471,0.032,1.34,3,2.7,1.364,2.131
3.92,10.78,19.6,72.86,44.8,21.9,152.2,0.022,0.044,0.837,1.215,9.676,0.033,1.378,2.5,2.7,1.473,2.447
3.68,11.35,19.5,94.29,22.2,91.1,117.8,0.047,0.085,0.588,1.266,8.594,0.059,1.153,3,2.8,5.946,1.681
3.4,12.61,20,82.86,61.9,18.1,163.5,0.03,0.023,0.519,1.2,7.277,0.031,1.175,2.8,2,0.856,1.895
2.31,12.5,20.4,54.29,88.2,34.7,120.8,0.053,0.032,0.642,1.244,8.088,0.031,1.613,3.5,1.9,0.964,1.936
3.86,12.85,20.4,75.71,22.2,43.9,128.1,0.036,0.044,0.476,0.909,7.544,0.056,1.362,1,2.5,3.604,2.058
4.42,9.88,12.5,94,14.4,6.4,172.5,0.052,0.048,0.291,1.111,7.77,0.023,2.917,4,3.2,6.944,2.399
4.42,10.1,12.6,90,10.8,15.8,197.6,0.042,0.039,0.764,0.579,6.351,0.018,3.116,3.5,3.4,7.5,3.496
3.63,10.25,12.1,98,34.9,7.6,285.1,0.031,0.1,0.688,0.917,5.299,0.023,3.712,5,3.3,3.754,3.116
3.99,10.15,12.3,120,32,25.5,183.8,0.031,0.082,0.775,1.139,8.4,0.057,3.843,6,2.7,3.531,4.259
4.42,10.14,12.2,120,13.9,15.2,171.1,0.042,0.031,0.655,1.141,9.336,0.029,3.483,6,2.6,5.252,2.73
3.86,9.84,12,138,12.8,34.3,213.5,0.033,0.069,0.7,1.351,8.262,0.016,3.579,4.5,2.7,7.969,3.2
4.23,9.77,10.9,114,7.3,45,231.6,0.034,0.054,0.741,1.047,6.608,0.019,3.483,4,1.5,12.055,2.255
3.85,9.95,12.6,88,21.7,21.5,192.5,0.03,0.074,0.62,1.011,7.361,0.028,3.621,3,3.4,4.793,2.538
4.42,10.43,12.3,94,10.6,7.5,200.2,0.036,0.034,0.409,0.915,6.386,0.035,2.327,3,2.7,6.604,1.64
4.42,10.02,12.4,80,8.9,2,156.6,0.032,0.032,0.603,0.737,8.382,0.023,2.93,2.5,3,7.191,2.594
4.42,9.7,12.6,94,28.5,0.7,139.2,0.037,0.038,0.685,0.861,9.626,0.022,3.167,5,3.2,2.632,3.521
3.96,9.68,12.6,104,8.2,36.3,118.5,0.044,0.035,0.555,0.815,8.89,0.017,2.834,6.5,3.5,9.634,2.297
4.08,9.37,12.6,104,38.5,40.9,191.5,0.024,0.061,0.783,1.008,6.925,0.022,3.775,6,3.5,2.208,2.651
4.42,10.05,12.2,88,33.6,2.5,194.7,0.026,0.053,0.752,0.904,7.517,0.028,3.873,5,3.4,2.351,3.423
4.42,9.93,12.3,124,26.5,13.9,226.5,0.035,0.048,0.762,1.05,7.1,0.02,3.643,4,2.2,3.132,4.032
2.7,11.23,10.8,31,2.4,8.2,50.7,0.03,0.009,0.572,0.242,13.915,0.022,3.815,5,3.5,16.25,0.73
2.4,12.25,10.9,32,9.8,0.8,113.1,0.036,0.023,0.553,0.095,5.715,0.024,4.227,6,3.5,6.02,0.703
2.1,11.87,11.4,34,1.1,10.3,93.5,0.028,0.026,0.3,0.751,10.534,0.01,3.737,8,3.4,49.091,0.561
2,12.33,11.7,61,4.5,5.3,103.2,0.037,0.025,0.449,0.808,11.673,0.014,3.815,7,2.8,13.778,0.651
1.8,12.18,12,78,6.7,1.2,180.3,0.022,0.03,0.53,0.491,5.701,0.015,3.969,8,2.8,7.761,0.633
2.6,12.28,11.3,40,5.7,8.1,75.6,0.02,0.023,0.483,0.498,11.454,0.02,3.15,7,3.1,7.544,0.625
2.3,11.89,11.3,43,7.5,9,150.2,0.025,0.022,0.429,0.536,6.071,0.014,3.539,5,1.8,6.267,0.796
2.6,12.6,11.6,34,2.2,4.9,75.9,0.028,0.033,0.496,0.562,13.482,0.016,3.654,6,3.4,27.727,0.478
2.7,12.81,11.5,34,8.7,2.2,108.4,0.021,0.038,0.481,0.502,8.734,0.027,3.6,5,2.7,6.782,0.673
2.7,12.42,11.4,33,4.9,7.1,61.2,0.023,0.022,0.423,0.459,12.664,0.012,3.677,4,3.2,9.184,0.713
2.4,11.22,10.8,32,1.3,9.6,80.2,0.019,0.019,0.501,0.069,6.674,0.032,3.483,4,3.4,29.231,0.6
2.4,12.11,10.9,29,4.5,9.3,77.8,0.028,0.027,0.575,0.398,11.223,0.019,3.689,5,3.5,12.222,0.739
2.4,12.07,10.9,34,1.9,21.1,68.1,0.016,0.038,0.551,0.453,11.614,0.026,3.724,2,3.4,28.421,0.741
2.4,11.5,10.8,37,10.5,4.1,70,0.019,0.036,0.48,0.184,8.499,0.019,3.888,2,3.4,5.238,0.722
2.2,11.45,10.6,32,2.1,34.3,38.1,0.026,0.032,0.48,0.434,13.047,0.012,3.762,3,2.1,27.619,0.886
3.1,10.08,17.1,70,9.7,11.4,153.5,0.101,0.056,0.222,0.803,6.77,0.037,1.728,4,3.2,16.186,0.796
2.8,10.98,17.5,72.5,14.6,81.6,36.4,0.027,0.038,0.179,0.602,6.38,0.046,2.264,5.4,3.5,4.452,0.752
2.2,11.2,17.8,127.5,8.2,61.8,58,0.031,0.038,0.724,0.054,6.617,0.057,1.535,5.3,3.3,8.415,0.934
1.8,11.2,18.1,111.25,12,35.2,94.1,0.037,0.036,0.295,0.679,7.41,0.056,2.204,7.9,2.8,6.083,0.898
1.5,10.99,18.2,113.75,13.5,26.3,96.3,0.023,0.03,0.025,0.079,1.154,0.039,2.173,7.8,2.7,3.926,0.824
2.4,11.11,17.8,90,20.1,13.3,110.8,0.027,0.047,0.495,0.05,4.293,0.052,2.101,6.7,3.1,3.682,1.851
1.8,10.88,17.1,120,12.7,23.4,131.4,0.015,0.035,0.427,0.478,5.701,0.06,1.684,4.9,1.9,3.937,1.487
2.6,10.96,17.5,156.25,12.8,16.3,78.9,0.047,0.041,0.514,0.492,10.13,0.05,1.763,6.8,3.4,6.875,1.277
2.8,11.15,17.9,177.5,17.3,55.9,56.6,0.046,0.04,0.477,0.591,8.891,0.045,1.884,6.2,2.7,4.971,1.379
3,10.23,17,146.25,10.1,28.6,142.1,0.033,0.037,0.508,0.374,5.265,0.064,2.004,5.9,3.4,6.931,1.259
3.1,10.81,16.8,105,10.8,28.8,90.8,0.028,0.032,0.397,0.11,4.348,0.051,2.355,5.8,3.5,5.556,1.308
3.1,10.48,16.9,150,15.8,58.8,36.5,0.024,0.024,0.36,0.794,10.819,0.057,2.01,5,3.5,3.038,1.617
2.6,10.8,17.1,117.5,24.7,58.6,20.9,0.1,0.045,0.178,0.715,9.962,0.054,2.111,7.9,3.6,5.87,1.576
2.4,10.92,17,122.5,17.4,12.1,78.5,0.085,0.039,0.305,0.301,6.759,0.038,2.641,7.5,3.4,7.126,1.676
2.2,10.8,17,110,12,20.6,118.4,0.104,0.043,0.388,0.259,5.258,0.071,2.834,5,2.3,12.25,1.202
3.6,10.22,17.1,106.25,19,10.7,116.1,0.016,0.016,0.587,0.284,6.193,0.012,2.396,3,3.4,1.684,1.626
3.3,10.28,16.8,122.5,14.4,15.2,149.3,0.015,0.016,0.67,0.441,6.383,0.027,2.568,5,3.4,2.153,1.627
3.6,10.62,16.9,117.5,41,8.9,141,0.106,0.015,0.554,0.309,5.155,0.002,2.517,2.5,3.5,2.951,0.961
3.2,10.74,16.9,126.25,31.2,5.8,172.6,0.01,0.019,0.728,0.667,6.794,0.032,2.9,3,2.7,0.929,1.534
2.4,10.69,16.8,132.5,23,12.3,135.5,0.035,0.02,0.71,0.841,9.403,0.026,2.766,5,2.9,2.391,1.665
2.2,11.33,17.2,108.75,19.8,3.5,123.4,0.01,0.026,0.704,0.416,7.88,0.131,2.958,5,3.3,1.818,2.114
1.4,9.79,16.5,142.5,28.7,6.5,251.1,0.019,0.026,0.743,1.129,6.696,0.059,2.748,6,2,1.568,2.067
3.3,10.71,17.1,102.5,21.7,1.8,134.6,0.02,0.024,0.365,0.706,7.052,0.053,2.512,4.5,3.4,2.028,2.069
1.9,9.94,16.3,128.75,14.9,1.4,166.8,0.014,0.027,0.659,0.573,6.952,0.054,2.826,6,3,2.752,2.045
3.1,10.1,16.8,161.25,16.6,13.8,178.6,0.023,0.027,0.502,1.141,8.1,0.056,2.671,4,3.4,3.012,2.075
3.5,10.16,16.3,143.75,21.9,9.4,152.8,0.026,0.027,0.473,0.866,7.561,0.038,2.752,3.5,3.2,2.42,1.785
3.3,9.99,16.4,123.75,33.3,11.3,111.3,0.048,0.026,0.652,0.541,8.127,0.053,2.568,5,3.4,2.222,2.241
2.8,10.12,16,166.25,22,25.5,171.1,0.032,0.029,0.57,0.402,4.726,0.033,2.85,6,3,2.773,1.462
2.3,10.18,15.8,170,21.1,8.9,143.3,0.066,0.032,0.522,0.86,8.54,0.056,2.752,7,3.3,4.645,2.894
1.6,10.11,16.1,217.5,22.8,11.9,89,0.029,0.027,0.651,0.176,7.138,0.016,2.81,7.5,2,2.456,2.757
3.2,9.04,20.1,90,5.1,8.2,199.6,0.013,0.06,0.561,0.986,7.609,0.02,2.517,6,3.7,14.314,0.787
3.3,9.66,20.3,58.8,9.2,12.5,146.7,0.016,0.039,0.577,0.435,6.336,0.022,2.452,4,3.7,5.978,1.011
3.7,10,20.4,71.3,10.9,1.5,209.1,0.053,0.07,0.613,0.777,6.831,0.02,2.286,3.5,3.5,11.284,1.968
3.4,9.68,20.5,81.3,7,23.7,179.2,0.025,0.04,0.616,0.402,5.16,0.027,2.438,3,2.9,9.286,1.13
1.8,10.35,20.2,65,18.2,12.4,157.9,0.014,0.057,0.578,0.614,6.7,0.019,2.854,6,2.9,3.901,1.533
3.3,9.68,20.4,70,13,9,158.9,0.024,0.034,0.67,0.614,7.418,0.017,2.487,5,3.3,4.462,3.321
3.2,9.31,19.7,193.8,4,34.2,207.2,0.015,0.05,0.649,1.201,7.804,0.017,2.472,8,1.8,16.25,4.114
3.6,9.54,20.4,93.8,8.2,6.2,191.7,0.013,0.065,0.51,0.883,7.137,0.023,2.229,5,3.6,9.512,2.661
3.3,9.35,20.1,102.5,7,63.8,87.9,0.012,0.047,0.539,1.158,11.065,0.014,2.65,6,3.3,8.429,3.049
3.2,9.14,20.2,127.5,9.7,83.6,88.7,0.02,0.129,0.564,0.962,9.203,0.019,2.429,7,3.5,15.361,3.725
3.3,9.15,20.1,101.3,11.1,18.4,263.6,0.024,0.056,0.69,1.199,6.718,0.025,2.319,7,3.5,7.207,3.72
3.7,8.84,20.2,112.5,2.2,57.8,154.5,0.016,0.06,0.525,0.95,7.231,0.017,2.19,7.5,3.2,34.545,2.105
3.7,8.63,19.8,125,6.8,4.6,195.3,0.013,0.072,0.456,1.41,9.439,0.02,2.163,7,3.5,12.5,1.559
3.5,9.15,19.4,170,3.3,69.1,194.5,0.02,0.049,0.488,1.341,7.111,0.015,2.317,7,2.2,20.909,1.77
3.7,9.15,20.6,61.25,16.5,35.6,92.4,0.026,0.019,0.512,0.96,10.498,0.008,2.691,6,3.5,2.727,1.581
3.5,9.03,20.1,67.5,9.2,33.1,116,0.027,0.015,0.643,0.783,9.274,0.014,2.656,8.5,3.9,4.565,1.495
3.1,9.36,20.3,80,1.6,17.6,135.3,0.019,0.018,0.757,0.967,11.398,0.015,2.904,9,3,23.125,1.754
2.3,9.3,19.8,80,41.8,59.6,128.3,0.011,0.023,0.77,1.147,8.494,0.019,3.349,5,2.4,0.813,1.981
2.5,8.49,20,103.75,4.4,41.2,174.3,0.018,0.023,0.85,1.229,9.641,0.01,2.675,10,2,9.318,4.242
3.2,8.5,20.1,71.25,11.7,14.1,146.7,0.013,0.029,0.652,0.869,9.061,0.023,2.887,6.5,1.7,3.59,1.614
3.3,9.94,20.3,88.75,6.5,43.7,80.2,0.011,0.027,0.756,0.771,12.002,0.016,2.748,9,3.4,5.846,1.767
3.6,9.34,20.4,70,14.6,10.6,112.8,0.018,0.009,0.547,0.796,9.928,0.017,2.731,11,2.9,1.849,2.489
3.2,9.63,20.3,66.25,10.5,20.7,144.8,0.019,0.024,0.588,0.78,8.017,0.008,2.866,6.5,3,4.095,2.7
3.8,8.91,20.5,76.25,5.5,15.4,148,0.014,0.021,0.541,0.895,8.709,0.006,2.65,6,3.5,6.364,2.09
3.4,8.98,20.3,76.25,14.4,13.2,134,0.017,0.038,0.526,0.807,8.589,0.022,2.913,10,3.1,3.819,1.986
3.7,8.42,20.5,92.5,8.2,12.1,165.8,0.024,0.024,0.553,0.996,8.581,0.011,2.926,10,2.8,5.854,1.943
3.2,8.47,20.1,92.5,1.4,20.8,181.7,0.026,0.032,0.682,0.848,7.788,0.018,2.777,7,2.9,41.429,2.506
3.1,8.49,19.8,82.5,8.9,9.3,222.8,0.021,0.038,0.562,1.103,7.154,0.016,2.814,6,2.2,6.629,2.707
4.4,9.96,16.2,98.75,23.3,7,136.7,0.058,0.015,0.248,1.107,8.551,0.022,2.796,7.7,3.4,3.133,2.378
4.3,9.86,16.4,95,24.2,12.5,170.4,0.06,0.02,0.276,1.268,7.842,0.037,2.788,7.3,3.4,3.306,2.952
4.3,9.79,16.4,113.75,18.1,5.2,150,0.048,0.018,0.519,1.037,9.359,0.036,2.838,6.7,3.2,3.646,2.215
3.9,9.8,16.4,112.5,26.1,4.6,143.4,0.037,0.029,0.706,0.933,9.793,0.091,2.935,7.6,2.6,2.529,2.009
3.3,9.82,16.1,93.75,21.7,36.8,125,0.035,0.026,0.877,0.971,10.403,0.065,3.192,8.2,2.4,2.811,2.146
3.1,10.58,16.1,103.75,50.2,19.2,136.1,0.032,0.029,0.835,0.982,9.139,0.012,3.256,11,1.8,1.215,3.697
4.2,9.9,16.3,111.25,14.3,5.6,141.1,0.033,0.05,0.698,1.143,11.95,0.024,2.72,7.9,3.3,5.804,3.157
3.7,9.86,16.2,112.5,9.7,21.4,186.3,0.04,0.052,0.838,0.626,7.157,0.04,2.953,7,3.1,9.485,3.341
4.5,9.93,16.3,117.5,23.9,30.3,191.5,0.033,0.029,0.406,1.181,6.711,0.05,2.904,8.5,3.2,2.594,2.464
4.6,10.02,16.2,115,31.4,32.4,37.8,0.024,0.024,0.549,0.476,10.561,0.031,2.665,10.2,3.3,1.529,2.239
4.5,9.93,16.3,113.75,7.1,20.6,223.2,0.021,0.032,0.482,0.812,5.369,0.019,2.967,9.5,3.4,7.465,1.58
4.2,10.3,16,102.5,19.5,58.8,97.1,0.027,0.048,0.572,0.38,5.855,0.038,2.875,10.5,3.3,3.846,2.024
4.1,10.1,16,120,14.9,9,235.6,0.034,0.028,0.682,0.688,5.518,0.071,2.862,11.5,2.2,4.161,3.088
